hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-88,9,9,2,33,-85,-85,-85,-89,-87,-85,-85,-85,-86,-85,-86,-85,-85,-86,-85,-85,-85,-89,-87,-91,-87,-91,-87,-86,-88,-93,-86,-86,-91,-85,-85,-86,-88,326,3.0011890606420932
HDOK,PLOK,17472,2,2,-96,8,9,2,33,-95,-95,-97,-94,-95,-94,-94,-95,-94,-101,-99,-93,-100,-95,-96,-95,-95,-95,-95,-97,-101,-99,-100,-98,-94,-96,-98,-94,-96,-95,-98,-95,-95,326,3.310344827586207
HDOK,PLOK,17472,3,3,-91,8,9,2,33,-89,-92,-94,-88,-88,-89,-89,-89,-89,-92,-95,-89,-94,-89,-91,-89,-89,-89,-89,-90,-95,-94,-95,-93,-89,-89,-93,-89,-89,-89,-90,-91,-89,326,3.897740784780024
HDOK,PLOK,17472,4,4,-89,8,9,2,33,-87,-86,-87,-87,-87,-86,-89,-86,-86,-87,-88,-87,-86,-87,-87,-86,-86,-89,-88,-93,-89,-93,-89,-87,-87,-91,-87,-86,-89,-87,-87,-88,-89,326,1.4887039239001187
HDOK,PLOK,17472,5,5,-88,9,9,2,33,-83,-83,-84,-83,-85,-83,-88,-83,-84,-84,-85,-84,-84,-85,-85,-84,-84,-88,-87,-91,-87,-91,-86,-85,-88,-91,-85,-85,-89,-85,-85,-85,-85,326,3.545778834720571
HDOK,PLOK,17472,6,6,-87,9,9,2,33,-83,-83,-85,-83,-83,-83,-84,-84,-83,-87,-88,-84,-86,-83,-84,-83,-83,-85,-83,-87,-89,-91,-88,-86,-83,-86,-86,-84,-86,-85,-87,-87,-88,326,3.067776456599286
HDOK,PLOK,17472,7,7,-86,9,9,2,33,-83,-87,-91,-83,-83,-83,-83,-85,-83,-83,-91,-83,-84,-83,-87,-83,-83,-83,-82,-83,-89,-86,-91,-89,-83,-83,-88,-83,-83,-82,-85,-86,-83,326,5.284185493460168
HDOK,PLOK,17472,8,8,-88,8,9,2,33,-85,-84,-85,-88,-86,-85,-85,-86,-85,-86,-88,-86,-86,-87,-86,-86,-86,-89,-87,-93,-89,-93,-88,-87,-87,-91,-86,-86,-89,-86,-86,-87,-85,326,2.076099881093936
HDOK,PLOK,17472,9,9,-88,9,9,2,33,-88,-93,-92,-86,-85,-86,-86,-86,-86,-87,-93,-86,-88,-86,-88,-86,-85,-86,-85,-87,-91,-89,-93,-89,-85,-86,-89,-84,-86,-85,-87,-84,-89,326,4.349583828775269
HDOK,PLOK,17472,10,10,-82,9,9,2,33,-78,-86,-87,-79,-78,-79,-79,-79,-79,-79,-87,-78,-79,-79,-83,-79,-80,-79,-79,-79,-83,-82,-85,-85,-78,-79,-85,-79,-79,-79,-85,-83,-83,326,6.420927467300834
HDOK,PLOK,17472,11,11,-89,8,9,2,33,-87,-87,-88,-86,-87,-86,-86,-87,-86,-93,-91,-86,-89,-86,-88,-86,-86,-87,-86,-88,-93,-91,-91,-88,-85,-88,-88,-86,-87,-86,-87,-86,-87,326,2.282996432818074
HDOK,PLOK,17472,12,12,-86,8,9,2,33,-83,-83,-86,-82,-82,-82,-83,-83,-82,-89,-87,-83,-87,-82,-84,-83,-83,-83,-83,-85,-89,-89,-88,-86,-83,-84,-85,-83,-84,-83,-85,-83,-83,326,3.3055885850178375
HDOK,PLOK,17472,13,13,-86,9,9,2,33,-83,-84,-87,-83,-83,-83,-83,-84,-83,-91,-88,-84,-88,-83,-85,-83,-83,-84,-83,-85,-91,-89,-88,-86,-83,-85,-85,-83,-84,-83,-83,-87,-83,326,3.5576694411414977
HDOK,PLOK,17472,14,14,-86,9,9,2,33,-84,-83,-85,-83,-83,-83,-84,-83,-83,-84,-86,-83,-83,-83,-83,-82,-82,-84,-83,-87,-88,-89,-86,-84,-82,-86,-84,-82,-85,-83,-83,-83,-84,326,1.4934601664684901
HDOK,PLOK,17472,15,15,-88,8,9,2,33,-85,-85,-86,-89,-87,-85,-86,-85,-86,-85,-86,-86,-85,-87,-85,-85,-85,-91,-88,-93,-87,-89,-86,-86,-93,-91,-85,-86,-93,-86,-86,-86,-86,326,4.076099881093936
HDOK,PLOK,17472,16,16,-86,8,9,2,33,-84,-85,-86,-83,-84,-83,-83,-83,-83,-89,-88,-83,-88,-83,-85,-83,-83,-84,-84,-86,-91,-91,-89,-86,-83,-85,-86,-83,-85,-83,-84,-87,-83,326,3.631391200951248
