hdok,plok,none,nums,totalNums,average_rssi,snr,sf,tp,serial_size,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,rssi_11,rssi_12,rssi_13,rssi_14,rssi_15,rssi_16,rssi_17,rssi_18,rssi_19,rssi_20,rssi_21,rssi_22,rssi_23,rssi_24,rssi_25,rssi_26,rssi_27,rssi_28,rssi_29,rssi_30,rssi_31,rssi_32,location_id,rssi_variance
HDOK,PLOK,17472,1,1,-96,8,9,2,33,-95,-96,-99,-94,-95,-94,-95,-95,-94,-98,-100,-95,-97,-94,-97,-94,-95,-95,-95,-95,-37,-100,-101,-99,-94,-95,-98,-93,-95,-93,-95,-100,-94,322,2.3295999999999997
HDOK,PLOK,17472,2,2,-88,8,9,2,33,-87,-93,-93,-86,-87,-86,-86,-87,-86,-87,-93,-86,-88,-86,-89,-86,-86,-86,-87,-87,-93,-89,-93,-91,-86,-86,-91,-86,-87,-86,-91,-89,-86,322,3.92
HDOK,PLOK,17472,3,3,-88,8,9,2,33,-87,-87,-88,-86,-86,-86,-86,-86,-86,-87,-91,-87,-91,-86,-87,-86,-86,-87,-87,-88,-93,-92,-92,-89,-86,-87,-89,-86,-87,-86,-88,-88,-87,322,1.4143999999999999
HDOK,PLOK,17472,4,4,-89,8,9,2,33,-87,-86,-87,-89,-88,-86,-87,-86,-87,-86,-87,-87,-86,-87,-87,-86,-86,-91,-88,-93,-87,-91,-87,-87,-88,-93,-87,-86,-91,-86,-86,-87,-89,322,1.28
HDOK,PLOK,17472,5,5,-88,8,9,2,33,-86,-86,-87,-86,-87,-86,-86,-86,-85,-88,-89,-86,-88,-86,-87,-86,-86,-87,-86,-88,-93,-93,-91,-89,-86,-88,-88,-86,-87,-86,-87,-86,-86,322,0.8223999999999999
HDOK,PLOK,17472,6,6,-89,8,9,2,33,-87,-86,-87,-89,-88,-86,-88,-86,-87,-86,-87,-87,-86,-87,-86,-86,-86,-91,-88,-93,-88,-91,-87,-87,-88,-91,-86,-86,-91,-86,-87,-86,-87,322,1.3056
HDOK,PLOK,17472,7,7,-88,7,9,2,33,-87,-86,-87,-87,-91,-88,-87,-86,-91,-86,-87,-86,-86,-88,-86,-87,-87,-93,-89,-93,-87,-90,-87,-87,-87,-93,-87,-87,-93,-86,-87,-87,-87,322,1.7695999999999998
HDOK,PLOK,17472,8,8,-88,7,9,2,33,-87,-89,-90,-87,-87,-87,-87,-88,-87,-89,-92,-86,-91,-87,-89,-87,-87,-87,-86,-88,-92,-91,-94,-91,-87,-87,-91,-87,-87,-87,-91,-93,-87,322,2.5823999999999994
HDOK,PLOK,17472,9,9,-89,7,9,2,33,-87,-87,-88,-87,-91,-89,-87,-87,-93,-87,-87,-87,-87,-89,-87,-87,-88,-94,-91,-94,-87,-90,-87,-87,-90,-94,-87,-89,-93,-87,-87,-87,-87,322,2.7456
HDOK,PLOK,17472,10,10,-89,6,9,2,33,-87,-87,-94,-86,-86,-86,-87,-87,-86,-86,-94,-87,-86,-87,-93,-92,-93,-87,-87,-87,-91,-89,-93,-93,-87,-87,-94,-87,-87,-87,-91,-94,-88,322,6.009600000000001
HDOK,PLOK,17472,11,11,-90,6,9,2,33,-87,-87,-88,-94,-89,-87,-87,-87,-88,-87,-88,-87,-87,-88,-88,-87,-87,-91,-89,-94,-90,-93,-89,-88,-88,-93,-88,-87,-91,-88,-87,-87,-89,322,1.3856000000000004
HDOK,PLOK,17472,12,12,-90,6,9,2,33,-88,-93,-93,-87,-87,-87,-87,-88,-88,-88,-94,-88,-88,-88,-91,-88,-88,-88,-88,-88,-93,-90,-94,-94,-87,-87,-94,-87,-88,-88,-93,-87,-89,322,3.9456
